Chick-Fil-A Sign,582529.02,614515.88,97.29,Food sign
Stop Sign,582127.08,614382.39,84.06,Roadway sign
Christiana Care Logo,583243.52,614935.76,142.35,Building sign
Do Not Enter Sign,580508.29,613421.216,88.34,Roadway sign
Doorway,581055.04,614518.81,83.91,Roadside feature
Dunkin Donuts Sign,582163.32,614277.560,90.69,Food sign
Dunkin Donuts,582229.17,614125.05,91.62,Restaurant
Bicycle Sign,582042.42,614250.444,83.55,Roadway sign
McDonald's Sign,581369.10,614107.55,107.06,Food sign
McDonald's,581339.88,614087.126,82.60,Restaurant
Crosswalk,581593.64,613978.63,75.23,Road feature
Yield Sign,581641.15,613983.47,84.00,Road sign
No Turn Sign,581688.98,613728.903,86.68,Road sign
Fence Gate,581783.27,613661.296,84.52,Roadside feature
Electric Box,583415.41,615118.06,74.55,Utility feature
